"LLIW","InsChange","MeanRH","WindFieldMt","SubjVertMo","SynForcng","LoLevMoistAd","Boundaries","AMInsWliScen","N34StarFcst","N0_7muVerMo","WndHodograph","ScenRel3_4","WindAloft","AreaMeso_ALS","ScenRelAMIns","CapInScen","Dewpoints","MorningCIN","CldShadeOth","Date","MorningBound","LIfr12ZDENSd","InsSclInScen","InsInMt","IRCloudCover","RHRatio","LatestCIN","QGVertMotion","MountainFcst","MvmtFeatures","SatContMoist","SfcWndShfDis","Scenario","CapChange","AMInstabMt","CurPropConv","AMCINInScen","CldShadeConv","RaoContMoist","CompPlFcst","LowLLapse","R5Fcst","PlainsFcst","MidLLapse","ScnRelPlFcst","AMDewptCalPl","CombVerMo","WindFieldPln","AreaMoDryAir","CombClouds","VISCloudCov","CombMoisture","OutflowFrMt","ScenRelAMCIN","TempDis"
"Moderate","LittleChange","Average","LVorOther","StronUp","LittleChange","Neutral","Strong","MoreUnstable","SIG","StrongUp","Westerly","GJ","LV","StrongUp","CDEJ","Average","LowMtsHighPl","None","Cloudy","Aug20_Sep15","Strong","N1GtLIGt_4","MoreUnstable","Strong","Clear","MoistMDryL","None","WeakUp","XNIL","NoMajor","Neutral","DryLine","J","LittleChange","Strong","Strong","Average","Marked","Wet","LittleChange","Steep","SIG","SIG","ModerateOrLe","J","Instability","StrongUp","LV","VeryWet","PC","PC","Wet","Strong","CThruK","Moving"
"Strong","Increasing","Dry","LVorOther","Neutral","PosToNeg","StrongPos","Weak","Average","XNIL","Down","Other","GJ","SWQuad","Neutral","G","MoreThanAve","LowEvrywhere","Stifling","Cloudy","Aug11_Aug20","None","N5GtLIGt_8","Average","None","Clear","MoistMDryL","Stifling","StrongUp","XNIL","StrongFront","VeryWet","Other","G","Increasing","None","Slight","Average","None","Neutral","IncCapDecIns","CloseToDryAd","XNIL","XNIL","CloseToDryAd","G","Stability","Neutral","WidespdDnsl","Wet","Cloudy","Cloudy","VeryWet","None","CThruK","None"
"Strong","Decreasing","VeryMoist","Westerly","Down","SigNegative","Negative","Strong","MoreUnstable","XNIL","StrongUp","Other","ACEFK","SWQuad","Neutral","K","LessThanAve","LowMtsHighPl","PartInhibit","Clear","May15_Jun14","Strong","N1GtLIGt_4","Average","None","PC","MoistMDryL","Stifling","Neutral","XNIL","StrongFront","Dry","DryLine","K","Decreasing","None","Moderate","Average","None","VeryWet","DecCapIncIns","Steep","XNIL","XNIL","Steep","K","Instability","Neutral","WidespdDnsl","VeryWet","Clear","Clear","Wet","None","CThruK","QStationary"
"Moderate","LittleChange","Average","LVorOther","WeakUp","SigPositive","Neutral","None","MoreUnstable","XNIL","WeakUp","DCVZFavor","HI","SWQuad","Neutral","H","LessThanAve","LowMtsHighPl","PartInhibit","Clear","Jul16_Aug10","None","N5GtLIGt_8","MoreUnstable","Strong","Clear","Other","None","Down","SIG","NoMajor","VeryWet","MovingFtorOt","H","Decreasing","Weak","Slight","Average","Some","Neutral","DecCapIncIns","ModerateOrLe","SIG","XNIL","Steep","H","Stability","Neutral","E_NE","VeryWet","Clear","PC","VeryWet","Weak","CThruK","Moving"
"Strong","Decreasing","Average","LVorOther","Neutral","SigPositive","Negative","Weak","MoreUnstable","XNIL","Down","DCVZFavor","ACEFK","NWQuad","Neutral","CDEJ","LessThanAve","Other","PartInhibit","PC","Aug11_Aug20","None","N1GtLIGt_4","Average","None","Cloudy","Other","None","Neutral","XNIL","OtherRapid","Wet","E_W_N","C","Decreasing","None","Moderate","LessThanAve","None","VeryWet","DecCapIncIns","ModerateOrLe","XNIL","XNIL","Steep","C","Neutral","Neutral","WidespdDnsl","VeryWet","PC","PC","Wet","None","CThruK","Other"
"Moderate","Increasing","Average","Westerly","Down","PosToNeg","StrongPos","None","Average","SIG","Neutral","StrongWest","GJ","AllElse","Down","G","MoreThanAve","LowEvrywhere","PartInhibit","Clear","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","None","PC","Other","PartInhibit","Neutral","XNIL","NoMajor","Dry","DryLine","G","Increasing","None","Slight","Average","None","Neutral","IncCapDecIns","CloseToDryAd","SIG","SIG","CloseToDryAd","G","Stability","Down","WidespdDnsl","Wet","Clear","Clear","Wet","None","CThruK","None"
"Moderate","LittleChange","VeryMoist","LVorOther","Down","SigNegative","Neutral","Weak","LessUnstable","XNIL","Down","Westerly","B","SWQuad","Down","ABI","Average","Other","PartInhibit","Clear","Jul16_Aug10","None","N1GtLIGt_4","LessUnstable","Strong","Cloudy","Other","PartInhibit","Neutral","SIG","NoMajor","Wet","DenvCyclone","B","LittleChange","Strong","None","Average","Marked","Neutral","LittleChange","ModerateOrLe","SIG","XNIL","ModerateOrLe","B","Stability","Down","DenvCyclone","Dry","Clear","Clear","Neutral","Strong","AB","Other"
"Weak","LittleChange","Dry","LVorOther","StronUp","NegToPos","Neutral","Strong","LessUnstable","XNIL","WeakUp","DCVZFavor","GJ","NWQuad","StrongUp","G","LessThanAve","LowMtsHighPl","PartInhibit","Cloudy","Aug20_Sep15","Weak","LIGt0","LessUnstable","Strong","Clear","Other","TotalInhibit","WeakUp","SIG","MarkedUpper","VeryWet","Other","G","Decreasing","Strong","None","Average","Marked","Wet","DecCapIncIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","G","Neutral","StrongUp","LongAnticyc","VeryWet","Cloudy","Cloudy","VeryWet","Strong","CThruK","None"
"Moderate","LittleChange","Dry","LVorOther","StronUp","PosToNeg","Negative","Weak","MoreUnstable","SVR","StrongUp","DCVZFavor","ACEFK","NWQuad","Neutral","CDEJ","Average","LowEvrywhere","PartInhibit","Clear","Jul16_Aug10","None","N1GtLIGt_4","Average","Weak","PC","Other","PartInhibit","Down","XNIL","MarkedUpper","Dry","E_W_N","C","LittleChange","None","Moderate","Average","Some","Neutral","LittleChange","ModerateOrLe","SVR","SVR","CloseToDryAd","C","Instability","Neutral","LongAnticyc","Wet","Clear","Clear","Wet","None","CThruK","None"
"Moderate","Increasing","Dry","Westerly","Neutral","SigNegative","Neutral","None","MoreUnstable","XNIL","WeakUp","Westerly","D","LV","StrongUp","CDEJ","Average","LowAtStation","Stifling","Cloudy","Aug20_Sep15","None","LIGt0","MoreUnstable","Weak","Clear","DryMMoistL","None","StrongUp","SIG","MarkedUpper","Neutral","DryLine","D","LittleChange","Weak","Strong","Average","None","VeryWet","LittleChange","Steep","SIG","XNIL","Steep","D","Instability","StrongUp","SEQuad","Wet","Clear","Clear","Neutral","Weak","CThruK","QStationary"
"Moderate","Decreasing","Average","Westerly","Neutral","SigPositive","WeakPos","Strong","MoreUnstable","XNIL","StrongUp","DCVZFavor","ACEFK","NWQuad","Neutral","CDEJ","LessThanAve","LowEvrywhere","PartInhibit","Clear","Jun15_Jul1","Weak","LILt_8","Average","None","Clear","MoistMDryL","TotalInhibit","WeakUp","XNIL","NoMajor","Neutral","E_W_N","C","Decreasing","None","None","LessThanAve","None","Wet","DecCapIncIns","Steep","XNIL","XNIL","CloseToDryAd","C","Stability","Neutral","LongAnticyc","Neutral","Clear","PC","Wet","None","CThruK","QStationary"
"Weak","LittleChange","Average","Westerly","Neutral","LittleChange","Neutral","Weak","LessUnstable","XNIL","Down","StrongWest","ACEFK","SWQuad","Down","CDEJ","Average","LowSHighN","PartInhibit","Clear","Aug20_Sep15","None","LIGt0","LessUnstable","Strong","Clear","DryMMoistL","PartInhibit","Neutral","SIG","OtherRapid","Neutral","None","E","LittleChange","Weak","None","Average","Some","VeryWet","LittleChange","Steep","SIG","XNIL","Steep","E","Stability","Down","LV","Wet","Clear","PC","Wet","Strong","CThruK","Moving"
"Strong","Decreasing","VeryMoist","LVorOther","StronUp","PosToNeg","Neutral","Weak","Average","XNIL","WeakUp","DCVZFavor","ACEFK","LV","StrongUp","F","LessThanAve","HighEvrywher","PartInhibit","Cloudy","Jul16_Aug10","None","N1GtLIGt_4","LessUnstable","Strong","PC","Other","PartInhibit","Neutral","SIG","OtherRapid","Dry","None","F","Decreasing","Weak","Moderate","Average","Marked","Neutral","DecCapIncIns","ModerateOrLe","SIG","XNIL","ModerateOrLe","F","Instability","StrongUp","SEQuad","VeryWet","PC","PC","VeryWet","Weak","CThruK","Other"
"Moderate","LittleChange","Average","Westerly","WeakUp","SigPositive","WeakPos","Strong","LessUnstable","XNIL","Neutral","Westerly","ACEFK","SWQuad","WeakUp","CDEJ","LessThanAve","HighEvrywher","PartInhibit","Clear","Aug20_Sep15","Strong","N1GtLIGt_4","LessUnstable","Weak","PC","MoistMDryL","None","Neutral","SIG","OtherRapid","Dry","DryLine","C","Decreasing","Weak","Slight","LessThanAve","None","Dry","DecCapIncIns","ModerateOrLe","SIG","XNIL","CloseToDryAd","C","Neutral","WeakUp","LongAnticyc","Neutral","Clear","Clear","Neutral","Weak","CThruK","Other"
"Moderate","LittleChange","Dry","LVorOther","WeakUp","PosToNeg","WeakPos","Strong","Average","XNIL","Down","DCVZFavor","B","NWQuad","Down","ABI","LessThanAve","HighEvrywher","PartInhibit","Clear","Aug11_Aug20","None","N1GtLIGt_4","Average","Strong","PC","DryMMoistL","PartInhibit","WeakUp","SIG","NoMajor","VeryWet","DenvCyclone","B","LittleChange","Weak","Slight","LessThanAve","Some","Wet","LittleChange","ModerateOrLe","SIG","XNIL","Steep","B","Stability","Down","SEQuad","Wet","PC","PC","VeryWet","Strong","AB","Other"
"Moderate","Decreasing","Average","LVorOther","Neutral","PosToNeg","Negative","Weak","MoreUnstable","SIG","WeakUp","StrongWest","HI","SWQuad","Neutral","ABI","Average","LowMtsHighPl","Stifling","PC","May15_Jun14","None","N1GtLIGt_4","MoreUnstable","Weak","PC","DryMMoistL","None","Down","SIG","NoMajor","Neutral","E_W_S","I","Increasing","Weak","Slight","Average","Some","Neutral","IncCapDecIns","ModerateOrLe","SIG","SIG","ModerateOrLe","I","Instability","Neutral","E_NE","Dry","PC","Clear","Dry","Strong","CThruK","QStationary"
"Weak","LittleChange","Dry","Westerly","Neutral","SigPositive","Neutral","Weak","MoreUnstable","XNIL","Neutral","Other","ACEFK","AllElse","Neutral","K","Average","LowNHighS","PartInhibit","Clear","Aug20_Sep15","None","N5GtLIGt_8","MoreUnstable","Strong","Clear","Other","Stifling","Neutral","SIG","StrongFront","Neutral","MovingFtorOt","K","LittleChange","Weak","None","Average","Some","Neutral","LittleChange","Steep","SIG","XNIL","ModerateOrLe","K","Instability","Neutral","WidespdDnsl","Neutral","Clear","PC","Neutral","Strong","CThruK","None"
"Weak","Decreasing","VeryMoist","Westerly","StronUp","PosToNeg","WeakPos","Strong","Average","XNIL","WeakUp","Westerly","B","SWQuad","WeakUp","ABI","Average","LowNHighS","PartInhibit","Cloudy","Jun15_Jul1","Strong","N1GtLIGt_4","LessUnstable","Strong","PC","Other","None","Neutral","XNIL","NoMajor","Neutral","DenvCyclone","B","LittleChange","Strong","Moderate","Average","Some","Neutral","LittleChange","ModerateOrLe","XNIL","XNIL","Steep","B","Stability","WeakUp","DenvCyclone","Neutral","Cloudy","PC","Dry","Strong","AB","Other"
"Weak","LittleChange","Average","LVorOther","WeakUp","LittleChange","Negative","Weak","LessUnstable","SIG","Down","DCVZFavor","ACEFK","LV","WeakUp","CDEJ","LessThanAve","LowMtsHighPl","Stifling","PC","May15_Jun14","Weak","N1GtLIGt_4","Average","Weak","Clear","MoistMDryL","PartInhibit","Neutral","SIG","OtherRapid","Wet","DryLine","E","Decreasing","None","Slight","MoreThanAve","Some","Wet","DecCapIncIns","Stable","SIG","SIG","ModerateOrLe","E","Stability","WeakUp","LV","VeryWet","Clear","PC","Neutral","None","CThruK","None"
"Unfavorable","Increasing","VeryMoist","LVorOther","StronUp","NegToPos","StrongPos","Strong","LessUnstable","SIG","StrongUp","Other","ACEFK","SWQuad","StrongUp","CDEJ","Average","LowAtStation","PartInhibit","Cloudy","May15_Jun14","Strong","LIGt0","Average","Strong","PC","MoistMDryL","Stifling","WeakUp","XNIL","OtherRapid","Neutral","None","E","LittleChange","Weak","None","Average","Some","Neutral","LittleChange","Steep","SIG","SIG","ModerateOrLe","E","Stability","StrongUp","WidespdDnsl","Wet","Clear","Clear","Neutral","None","CThruK","None"
"Unfavorable","LittleChange","Average","Westerly","StronUp","PosToNeg","Neutral","Weak","LessUnstable","SIG","Neutral","StrongWest","D","NWQuad","StrongUp","CDEJ","LessThanAve","LowEvrywhere","PartInhibit","PC","Aug20_Sep15","None","N1GtLIGt_4","LessUnstable","Strong","PC","DryMMoistL","Stifling","StrongUp","XNIL","MarkedUpper","Dry","None","D","Decreasing","Strong","None","Average","Marked","Wet","DecCapIncIns","CloseToDryAd","SIG","SIG","CloseToDryAd","D","Instability","StrongUp","SEQuad","Wet","Clear","Clear","Neutral","Strong","CThruK","Other"
"Moderate","Increasing","Dry","Westerly","StronUp","NegToPos","WeakPos","Strong","MoreUnstable","XNIL","Down","Westerly","ACEFK","AllElse","Neutral","CDEJ","LessThanAve","LowEvrywhere","PartInhibit","Clear","Jul16_Aug10","Weak","N1GtLIGt_4","MoreUnstable","Strong","Cloudy","Other","PartInhibit","StrongUp","SIG","MarkedUpper","Neutral","E_W_N","C","Decreasing","Weak","Slight","Average","Marked","Neutral","DecCapIncIns","Steep","SIG","XNIL","CloseToDryAd","C","Instability","Neutral","WidespdDnsl","Dry","PC","Clear","Neutral","Strong","CThruK","None"
"Weak","Decreasing","Average","Westerly","Neutral","SigPositive","Neutral","Strong","LessUnstable","XNIL","Down","StrongWest","HI","LV","Neutral","ABI","Average","LowSHighN","Stifling","PC","May15_Jun14","Weak","N5GtLIGt_8","LessUnstable","Strong","PC","MoistMDryL","PartInhibit","Down","SVR","MarkedUpper","VeryWet","E_W_S","I","LittleChange","Weak","None","Average","Marked","VeryWet","LittleChange","CloseToDryAd","SVR","XNIL","Steep","I","Stability","Neutral","E_NE","Wet","PC","Clear","VeryWet","Strong","CThruK","QStationary"
"Weak","Increasing","Average","Westerly","WeakUp","SigNegative","WeakPos","Strong","LessUnstable","SVR","WeakUp","DCVZFavor","ACEFK","SWQuad","WeakUp","ABI","LessThanAve","LowMtsHighPl","PartInhibit","Cloudy","Aug20_Sep15","None","LIGt0","MoreUnstable","Strong","PC","DryMMoistL","None","Neutral","SVR","MarkedUpper","VeryWet","DenvCyclone","A","Decreasing","Strong","Slight","Average","Marked","Neutral","DecCapIncIns","ModerateOrLe","SVR","SVR","Steep","A","Instability","WeakUp","DenvCyclone","VeryWet","PC","Cloudy","Wet","Strong","AB","Other"
"Weak","Decreasing","Average","LVorOther","Neutral","SigPositive","Negative","Weak","LessUnstable","XNIL","Neutral","Other","ACEFK","NWQuad","WeakUp","K","Average","LowEvrywhere","Stifling","PC","Jun15_Jul1","Weak","N1GtLIGt_4","LessUnstable","Strong","PC","DryMMoistL","None","StrongUp","SVR","MarkedUpper","Neutral","Other","K","Decreasing","Strong","None","Average","Some","Neutral","DecCapIncIns","ModerateOrLe","SVR","XNIL","ModerateOrLe","K","Stability","WeakUp","LV","Wet","PC","Clear","Neutral","None","CThruK","Moving"
"Weak","Increasing","VeryMoist","LVorOther","Neutral","PosToNeg","Neutral","Strong","MoreUnstable","XNIL","Neutral","StrongWest","ACEFK","SWQuad","Neutral","CDEJ","LessThanAve","LowAtStation","PartInhibit","PC","Jul2_Jul15","Weak","LIGt0","MoreUnstable","Strong","PC","MoistMDryL","None","WeakUp","XNIL","NoMajor","Wet","DryLine","E","Decreasing","Strong","Moderate","Average","Marked","VeryWet","DecCapIncIns","Steep","XNIL","XNIL","ModerateOrLe","E","Instability","Neutral","WidespdDnsl","Neutral","PC","PC","Wet","Strong","CThruK","None"
"Moderate","LittleChange","Dry","Westerly","Neutral","LittleChange","Neutral","Strong","Average","SIG","WeakUp","StrongWest","GJ","NWQuad","WeakUp","G","MoreThanAve","LowEvrywhere","Stifling","Clear","Jul16_Aug10","Strong","LIGt0","Average","Strong","Clear","Other","None","StrongUp","SIG","NoMajor","VeryWet","DenvCyclone","G","Decreasing","Strong","Strong","MoreThanAve","Some","Wet","DecCapIncIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","G","Instability","WeakUp","LongAnticyc","VeryWet","Clear","Clear","VeryWet","Strong","CThruK","None"
"Moderate","Increasing","Average","Westerly","Neutral","PosToNeg","WeakPos","Weak","MoreUnstable","XNIL","WeakUp","StrongWest","ACEFK","AllElse","Neutral","K","LessThanAve","LowNHighS","PartInhibit","PC","Aug20_Sep15","None","N5GtLIGt_8","MoreUnstable","Strong","Clear","DryMMoistL","PartInhibit","Neutral","SIG","MarkedUpper","VeryWet","MovingFtorOt","K","Increasing","Weak","Moderate","LessThanAve","Marked","Dry","IncCapDecIns","Steep","SIG","XNIL","Steep","K","Stability","Neutral","SEQuad","VeryWet","PC","Cloudy","VeryWet","Weak","CThruK","Other"
"Weak","Decreasing","Average","Westerly","Down","LittleChange","Negative","Weak","LessUnstable","SIG","Down","DCVZFavor","ACEFK","SWQuad","Down","CDEJ","LessThanAve","LowAtStation","None","Cloudy","May15_Jun14","None","N1GtLIGt_4","LessUnstable","Strong","Clear","MoistMDryL","PartInhibit","Neutral","SVR","NoMajor","Neutral","DryLine","E","LittleChange","Weak","None","LessThanAve","Marked","Neutral","LittleChange","Stable","SVR","SIG","ModerateOrLe","E","Neutral","Down","LV","Neutral","Cloudy","PC","Neutral","Strong","CThruK","None"
"Strong","Decreasing","Average","LVorOther","Neutral","SigPositive","Neutral","Weak","Average","XNIL","Down","StrongWest","ACEFK","SWQuad","Down","CDEJ","MoreThanAve","LowAtStation","PartInhibit","PC","Aug11_Aug20","None","N5GtLIGt_8","Average","Strong","Clear","Other","None","WeakUp","SIG","NoMajor","Neutral","DryLine","E","Increasing","Strong","Strong","LessThanAve","Marked","Dry","IncCapDecIns","Steep","SIG","XNIL","ModerateOrLe","E","Instability","Down","LV","Neutral","Cloudy","Cloudy","Neutral","Strong","CThruK","None"
"Strong","Decreasing","Dry","Westerly","Neutral","LittleChange","Negative","Weak","LessUnstable","SVR","StrongUp","StrongWest","GJ","LV","StrongUp","G","Average","LowAtStation","Stifling","PC","Aug11_Aug20","Weak","N5GtLIGt_8","LessUnstable","Weak","PC","Other","PartInhibit","StrongUp","SIG","MarkedUpper","VeryWet","E_W_N","G","Decreasing","None","Slight","MoreThanAve","Marked","Dry","DecCapIncIns","CloseToDryAd","SVR","SVR","CloseToDryAd","G","Stability","StrongUp","WidespdDnsl","VeryWet","PC","PC","Neutral","Weak","CThruK","None"
"Moderate","LittleChange","VeryMoist","LVorOther","Down","NegToPos","WeakPos","Strong","MoreUnstable","SIG","Down","DCVZFavor","HI","SWQuad","Down","H","LessThanAve","Other","PartInhibit","Clear","Jun15_Jul1","Weak","N1GtLIGt_4","MoreUnstable","Strong","PC","DryMMoistL","PartInhibit","Down","SVR","OtherRapid","Dry","None","H","Decreasing","Strong","Slight","LessThanAve","Marked","VeryWet","DecCapIncIns","Stable","SVR","SIG","ModerateOrLe","H","Instability","Down","E_NE","Dry","PC","Clear","Wet","Strong","CThruK","QStationary"
"Moderate","Increasing","VeryMoist","Westerly","StronUp","LittleChange","Neutral","Weak","Average","XNIL","Down","Westerly","ACEFK","LV","WeakUp","F","Average","HighEvrywher","PartInhibit","Cloudy","Aug11_Aug20","Strong","LILt_8","MoreUnstable","None","Clear","Other","None","WeakUp","XNIL","MarkedUpper","Neutral","DenvCyclone","F","Increasing","None","Strong","Average","None","Wet","IncCapDecIns","ModerateOrLe","XNIL","XNIL","ModerateOrLe","F","Neutral","WeakUp","LV","VeryWet","Cloudy","Cloudy","VeryWet","None","CThruK","Other"
"Moderate","Decreasing","Dry","Westerly","StronUp","SigNegative","Negative","Weak","Average","XNIL","WeakUp","DCVZFavor","ACEFK","AllElse","Neutral","K","Average","LowMtsHighPl","TotalInhibit","PC","Aug20_Sep15","Weak","N5GtLIGt_8","Average","Strong","PC","DryMMoistL","None","Down","SIG","StrongFront","VeryWet","MovingFtorOt","K","Decreasing","Weak","Slight","MoreThanAve","Some","Dry","DecCapIncIns","Steep","SIG","XNIL","Steep","K","Instability","Neutral","WidespdDnsl","Dry","Clear","Clear","Dry","Strong","CThruK","None"
"Strong","LittleChange","Dry","LVorOther","Neutral","PosToNeg","Neutral","None","Average","XNIL","StrongUp","DCVZFavor","GJ","NWQuad","StrongUp","G","MoreThanAve","LowAtStation","PartInhibit","Cloudy","Aug20_Sep15","None","N1GtLIGt_4","Average","Strong","Clear","Other","PartInhibit","StrongUp","SVR","StrongFront","Neutral","Other","G","Increasing","Strong","Strong","Average","Marked","Neutral","IncCapDecIns","CloseToDryAd","SVR","XNIL","CloseToDryAd","G","Stability","StrongUp","WidespdDnsl","Wet","PC","PC","Neutral","Weak","CThruK","None"
"Moderate","Increasing","VeryMoist","Westerly","Neutral","LittleChange","StrongPos","Weak","LessUnstable","XNIL","Down","DCVZFavor","B","AllElse","Neutral","ABI","Average","LowNHighS","Stifling","Cloudy","Jul16_Aug10","Weak","N1GtLIGt_4","LessUnstable","Strong","Clear","DryMMoistL","PartInhibit","WeakUp","SIG","NoMajor","Dry","E_W_N","B","LittleChange","Weak","Moderate","Average","Some","Neutral","LittleChange","ModerateOrLe","SIG","XNIL","Steep","B","Stability","Neutral","DenvCyclone","VeryWet","Cloudy","Cloudy","VeryWet","Weak","AB","Other"
"Unfavorable","Decreasing","Average","Westerly","Neutral","SigPositive","Neutral","None","LessUnstable","XNIL","StrongUp","Other","ACEFK","AllElse","WeakUp","CDEJ","LessThanAve","LowAtStation","PartInhibit","PC","May15_Jun14","None","N1GtLIGt_4","LessUnstable","Strong","PC","Other","None","Neutral","SIG","OtherRapid","Dry","E_W_S","C","Decreasing","Strong","Slight","Average","None","VeryWet","DecCapIncIns","Steep","SIG","XNIL","CloseToDryAd","C","Neutral","WeakUp","LongAnticyc","Neutral","PC","PC","Dry","None","CThruK","None"
"Strong","Decreasing","Average","LVorOther","Down","LittleChange","Negative","Strong","MoreUnstable","SIG","WeakUp","DCVZFavor","GJ","LV","Down","CDEJ","MoreThanAve","LowMtsHighPl","None","PC","Aug11_Aug20","None","N5GtLIGt_8","Average","Strong","PC","MoistMDryL","PartInhibit","Down","SVR","NoMajor","Neutral","DryLine","J","Increasing","Strong","Moderate","Average","Some","Neutral","IncCapDecIns","CloseToDryAd","SVR","SIG","Steep","J","Neutral","Down","DenvCyclone","Dry","PC","PC","Neutral","Strong","CThruK","None"
"Moderate","Increasing","Average","LVorOther","StronUp","SigNegative","Neutral","None","Average","XNIL","StrongUp","Westerly","HI","LV","StrongUp","H","LessThanAve","LowMtsHighPl","PartInhibit","Cloudy","Aug20_Sep15","None","N1GtLIGt_4","MoreUnstable","None","Clear","DryMMoistL","PartInhibit","WeakUp","XNIL","MarkedUpper","Dry","MovingFtorOt","H","Decreasing","None","Moderate","Average","None","Dry","DecCapIncIns","ModerateOrLe","XNIL","XNIL","CloseToDryAd","H","Neutral","StrongUp","E_NE","VeryWet","PC","PC","Wet","None","CThruK","None"
"Weak","LittleChange","Dry","LVorOther","Neutral","SigPositive","Negative","Strong","MoreUnstable","XNIL","WeakUp","StrongWest","ACEFK","AllElse","StrongUp","K","Average","Other","Stifling","PC","Jun15_Jul1","None","N5GtLIGt_8","MoreUnstable","Weak","Clear","DryMMoistL","None","StrongUp","SIG","StrongFront","Wet","MovingFtorOt","K","LittleChange","None","Slight","Average","Some","Wet","LittleChange","Stable","SIG","XNIL","CloseToDryAd","K","Instability","StrongUp","WidespdDnsl","VeryWet","Clear","PC","Wet","Strong","CThruK","Other"
"Weak","LittleChange","VeryMoist","LVorOther","StronUp","SigNegative","WeakPos","Weak","Average","XNIL","Neutral","DCVZFavor","HI","LV","Neutral","H","Average","LowSHighN","Stifling","Cloudy","May15_Jun14","Strong","N1GtLIGt_4","Average","None","PC","DryMMoistL","Stifling","Neutral","XNIL","MarkedUpper","Wet","E_W_S","H","LittleChange","None","Slight","Average","None","Neutral","LittleChange","Steep","XNIL","XNIL","Steep","H","Stability","Neutral","E_NE","VeryWet","Cloudy","PC","Wet","None","CThruK","None"
"Moderate","Decreasing","Average","Westerly","Neutral","SigPositive","Negative","None","LessUnstable","XNIL","StrongUp","DCVZFavor","ACEFK","NWQuad","StrongUp","CDEJ","LessThanAve","HighEvrywher","None","Cloudy","Jun15_Jul1","None","LIGt0","LessUnstable","Strong","Clear","Other","PartInhibit","StrongUp","SIG","NoMajor","VeryWet","E_W_N","C","LittleChange","Weak","Slight","LessThanAve","Some","Neutral","LittleChange","Stable","SIG","XNIL","ModerateOrLe","C","Neutral","StrongUp","LongAnticyc","VeryWet","Clear","PC","Wet","Weak","CThruK","QStationary"
"Strong","LittleChange","VeryMoist","LVorOther","WeakUp","SigNegative","Negative","Weak","Average","SIG","StrongUp","StrongWest","ACEFK","AllElse","WeakUp","F","MoreThanAve","HighEvrywher","TotalInhibit","PC","Jun15_Jul1","Weak","N1GtLIGt_4","Average","Strong","PC","Other","None","Neutral","SVR","OtherRapid","Neutral","Other","F","LittleChange","Weak","Strong","MoreThanAve","Marked","Dry","LittleChange","Steep","SVR","XNIL","ModerateOrLe","F","Stability","WeakUp","LV","Neutral","PC","Clear","Dry","Strong","CThruK","Other"
"Moderate","Decreasing","Average","Westerly","WeakUp","PosToNeg","Negative","None","LessUnstable","SVR","WeakUp","Other","B","NWQuad","WeakUp","ABI","MoreThanAve","LowEvrywhere","TotalInhibit","Clear","Jul16_Aug10","Weak","N5GtLIGt_8","LessUnstable","Weak","PC","DryMMoistL","PartInhibit","Neutral","SIG","NoMajor","VeryWet","E_W_N","B","LittleChange","None","Strong","MoreThanAve","None","Wet","LittleChange","Steep","SVR","SVR","ModerateOrLe","B","Stability","WeakUp","SEQuad","VeryWet","Clear","Clear","Wet","None","AB","Other"
"Strong","Decreasing","Dry","Westerly","WeakUp","LittleChange","Negative","Weak","Average","XNIL","Down","StrongWest","D","SWQuad","Neutral","CDEJ","Average","LowMtsHighPl","PartInhibit","Clear","Jul16_Aug10","Strong","N1GtLIGt_4","LessUnstable","Strong","Clear","MoistMDryL","None","Neutral","SVR","OtherRapid","Neutral","DenvCyclone","D","Decreasing","Strong","Strong","Average","Marked","Neutral","DecCapIncIns","Steep","SVR","XNIL","Steep","D","Stability","Neutral","LongAnticyc","Neutral","Clear","Clear","Neutral","Strong","CThruK","Other"
"Weak","LittleChange","Dry","Westerly","StronUp","LittleChange","Neutral","Strong","Average","XNIL","Neutral","StrongWest","GJ","LV","Neutral","G","LessThanAve","LowAtStation","None","Clear","Aug20_Sep15","None","N1GtLIGt_4","Average","Strong","PC","Other","None","Down","SIG","NoMajor","Neutral","None","G","Decreasing","Weak","Moderate","Average","Some","Neutral","DecCapIncIns","CloseToDryAd","SIG","XNIL","CloseToDryAd","G","Stability","Neutral","WidespdDnsl","Wet","Clear","Clear","Wet","Weak","CThruK","None"
"Moderate","Decreasing","Average","LVorOther","StronUp","SigPositive","Neutral","Strong","LessUnstable","SIG","Neutral","DCVZFavor","ACEFK","NWQuad","StrongUp","CDEJ","LessThanAve","Other","PartInhibit","Cloudy","Aug20_Sep15","Weak","N1GtLIGt_4","LessUnstable","Strong","PC","MoistMDryL","PartInhibit","StrongUp","SIG","OtherRapid","Neutral","E_W_N","C","Decreasing","Weak","Moderate","Average","Marked","VeryWet","DecCapIncIns","CloseToDryAd","SIG","SIG","CloseToDryAd","C","Stability","StrongUp","LV","VeryWet","Cloudy","Cloudy","Wet","Weak","CThruK","Other"
